election_period,meeting,sitting,agenda,filename
ps2013,42,7,208,samples/sample_audio_statistics_output/2016/03/10/2016031010581112.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030911481202.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030817481802.txt
ps2013,42,7,213,samples/sample_audio_statistics_output/2016/03/10/2016031012281242.txt
ps2017,2,2,31,samples/sample_audio_statistics_output/2017/11/30/2017113009280942.txt
ps2017,2,1,1,samples/sample_audio_statistics_output/2017/11/28/2017112814081422.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030412481302.txt
ps2013,42,6,163,samples/sample_audio_statistics_output/2016/03/09/2016030909080922.txt
ps2013,42,10,154,samples/sample_audio_statistics_output/2016/03/23/2016032311181132.txt
ps2017,2,2,18,samples/sample_audio_statistics_output/2017/11/30/2017113009080922.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031015381552.txt
ps2013,42,10,173,samples/sample_audio_statistics_output/2016/03/23/2016032312081222.txt
ps2013,42,6,41,samples/sample_audio_statistics_output/2016/03/09/2016030918381852.txt
ps2013,42,2,124,samples/sample_audio_statistics_output/2016/03/02/2016030217381752.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030409080922.txt
ps2013,42,7,213,samples/sample_audio_statistics_output/2016/03/10/2016031011481202.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030912081222.txt
ps2013,42,2,165,samples/sample_audio_statistics_output/2016/03/02/2016030212481302.txt
ps2013,42,8,152,samples/sample_audio_statistics_output/2016/03/11/2016031109180932.txt
ps2013,42,6,51,samples/sample_audio_statistics_output/2016/03/09/2016030915481602.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030315381552.txt
ps2017,2,1,1,samples/sample_audio_statistics_output/2017/11/28/2017112814381452.txt
ps2013,42,2,151,samples/sample_audio_statistics_output/2016/03/02/2016030210481102.txt
ps2013,42,10,173,samples/sample_audio_statistics_output/2016/03/23/2016032312281242.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031111081122.txt
ps2013,42,6,155,samples/sample_audio_statistics_output/2016/03/09/2016030910181032.txt
ps2013,42,1,2,samples/sample_audio_statistics_output/2016/03/01/2016030115381552.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030814081422.txt
ps2013,42,10,53,samples/sample_audio_statistics_output/2016/03/23/2016032313381352.txt
ps2013,42,6,156,samples/sample_audio_statistics_output/2016/03/09/2016030910281042.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030317181732.txt
ps2017,2,1,5,samples/sample_audio_statistics_output/2017/11/28/2017112817381752.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030316481702.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030209481002.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030315281542.txt
ps2017,2,1,3,samples/sample_audio_statistics_output/2017/11/28/2017112816581712.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030316381652.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031015481602.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031111481202.txt
ps2013,42,6,39,samples/sample_audio_statistics_output/2016/03/09/2016030917381752.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031014581512.txt
ps2013,42,6,51,samples/sample_audio_statistics_output/2016/03/09/2016030915581612.txt
ps2017,2,1,13,samples/sample_audio_statistics_output/2017/11/28/2017112818481902.txt
ps2013,42,6,158,samples/sample_audio_statistics_output/2016/03/09/2016030909481002.txt
ps2013,42,2,162,samples/sample_audio_statistics_output/2016/03/02/2016030211481202.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030316281642.txt
ps2013,42,1,7,samples/sample_audio_statistics_output/2016/03/01/2016030116481702.txt
ps2013,42,6,158,samples/sample_audio_statistics_output/2016/03/09/2016030909280942.txt
ps2013,42,7,211,samples/sample_audio_statistics_output/2016/03/10/2016031010581112.txt
ps2013,42,1,1,samples/sample_audio_statistics_output/2016/03/01/2016030114581512.txt
ps2013,42,6,51,samples/sample_audio_statistics_output/2016/03/09/2016030916181632.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030316581712.txt
