id	type	name_cs	name_en	name_short	to	from	
FrantisekLaudat.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2015-12-08T00:00:00
FrantisekLaudat.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
FrantisekLaudat.1960	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
FrantisekLaudat.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2010-06-10T00:00:00	2013-08-28T00:00:00
FrantisekLaudat.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2010-06-10T00:00:00	2013-08-28T00:00:00
FrantisekLaudat.1960	politicalParty	TOP 09	TOP 09	TOP09	2010-05-29	2013-08-28
FrantisekLaudat.1960	politicalGroup	Poslanecký klub Občanské demokratické strany	Political Group of the Civic Democratic Party	ODS	2006-06-08T00:00:00	2010-06-03T14:00:00
FrantisekLaudat.1960	politicalParty	Občanská demokratická strana	Civic Democratic Party	ODS	2006-06-03	2010-06-03
FrantisekNavrkal.1992	politicalGroup	Poslanecký klub České pirátské strany	Political group Czech Pirate Party	Piráti	2019-06-06T13:00:00	
FrantisekNavrkal.1992	politicalParty	Česká pirátská strana	Czech Pirate Party	Piráti	2017-10-21	
FrantisekPetrtyl.1959	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
FrantisekPetrtyl.1959	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
FrantisekPetrtyl.1959	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-01-03T12:00:00	2017-10-26T23:00:00
FrantisekPetrtyl.1959	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
FrantisekVacha.1966	politicalGroup	Poslanecký klub TOP 09	Political group TOP 09	TOP09	2017-10-31T00:00:00	
FrantisekVacha.1966	politicalGroup	Poslanecký klub TOP 09	Political group TOP 09	TOP09	2017-10-31T00:00:00	
FrantisekVacha.1966	politicalParty	TOP 09	TOP 09	TOP09	2017-10-21	
FrantisekVacha.1966	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
FrantisekVacha.1966	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
GabrielaHubackova.1975	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2013-10-27T00:00:00	2017-10-26T23:00:00
GabrielaHubackova.1975	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2013-10-26	2017-10-26
GabrielaHubackova.1975	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2010-06-02T00:00:00	2013-08-28T00:00:00
GabrielaHubackova.1975	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2010-05-29	2013-08-28
GabrielaPeckova.1957	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
GabrielaPeckova.1957	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
GabrielaPeckova.1957	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2010-06-10T00:00:00	2013-08-28T00:00:00
GabrielaPeckova.1957	politicalParty	TOP 09	TOP 09	TOP09	2010-05-29	2013-08-28
HanaAulickaJirovcova.1981	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2017-10-27T00:00:00	
HanaAulickaJirovcova.1981	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2017-10-24T00:00:00	
HanaAulickaJirovcova.1981	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2017-10-21	
HanaAulickaJirovcova.1981	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2013-10-27T00:00:00	2017-10-26T23:00:00
HanaAulickaJirovcova.1981	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2013-10-26	2017-10-26
HelenaLangsadlova.1963	politicalGroup	Poslanecký klub TOP 09	Political group TOP 09	TOP09	2017-10-31T00:00:00	
HelenaLangsadlova.1963	politicalParty	TOP 09	TOP 09	TOP09	2017-10-21	
HelenaLangsadlova.1963	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
