id	surname	forename	sex	birth	picture	
JiriKohoutek.1964	Kohoutek	Jiří	M	1964-11-26	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6504.jpg
JiriKoskuba.1955	Koskuba	Jiří	M	1955-12-14	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5433.jpg
JiriKoubek.1976	Koubek	Jiří	M	1976-05-28	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6213.jpg
JiriMasek.1958	Mašek	Jiří	M	1958-07-16	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6534.jpg
JiriMihola.1972	Mihola	Jiří	M	1972-06-01	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6222.jpg
JiriMilek.1963	Milek	Jiří	M	1963-07-03	
JiriOberfalzer	Oberfalzer	Jiří	M		
JiriPetru.1956	Petrů	Jiří	M	1956-08-17	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5487.jpg
JiriPospisil.1975	Pospíšil	Jiří	M	1975-11-24	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5273.jpg
JiriRusnok.1960	Rusnok	Jiří	M	1960-10-16	https://www.psp.cz/eknih/cdrom/2002ps/eknih/2002ps/poslanci/i4737.jpg
JiriRuzicka	Růžička	Jiří	M		
JiriSestak	Šesták	Jiří	M		
JiriSkalicky.1954	Skalický	Jiří	M	1954-08-03	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5964.jpg
JiriStetina.1941	Štětina	Jiří	M	1941-08-09	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5975.jpg
JiriStrycek.1959	Strýček	Jiří	M	1959-04-05	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6515.jpg
JiriValenta.1965	Valenta	Jiří	M	1965-12-28	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6169.jpg
JiriVentruba.1950	Ventruba	Jiří	M	1950-02-02	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6493.jpg
JiriVosecky	Vosecký	Jiří	M		
JiriZemanek.1965	Zemánek	Jiří	M	1965-01-03	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5987.jpg
JiriZimola.1971	Zimola	Jiří	M	1971-03-28	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6155.jpg
JiriZlatuska.1957	Zlatuška	Jiří	M	1957-09-15	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5718.jpg
JitkaChalankova.1957	Chalánková	Jitka	F	1957-03-23	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5922.jpg
JitkaSeitlova	Seitlová	Jitka	F		
JosefBelica.1978	Bělica	Josef	M	1978-07-16	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6437.jpg
JosefHajek.1956	Hájek	Josef	M	1956-07-03	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6139.jpg
